Dataset,n,d,Method,Activation,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean),Winkler Score (mean),Winkler Score (std),Width-Error Corr (mean),Width-Error Corr (std),CCV (mean),CCV (std)
diabetes,442,10,Global CQR,RELU,Overall,,,90%,0.9849624060150376,0.0,3.1461939811706543,0.0,247.7916753200303,3.095642566680908,0.7143008708953857,0.9259259259259259,0.0,1.0,0.07407407407407407,,3.2459728717803955,0.0,0.027308909222483635,0.0,0.008134430727023315,0.0
diabetes,442,10,Global CQR,RELU,Bin 1,2,1,90%,0.9259259259259259,0.0,2.65138578414917,,,,,,,,,27.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 2,0,2,90%,1.0,0.0,3.3472607135772705,,,,,,,,,27.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 3,1,3,90%,1.0,0.0,2.8457510471343994,,,,,,,,,26.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 4,3,4,90%,1.0,0.0,3.0151288509368896,,,,,,,,,26.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 5,4,5,90%,1.0,0.0,3.855461597442627,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Overall,,,90%,0.8270676691729323,0.0,2.3641459917215477,0.0,186.1982126645106,2.37266606092453,1.1946903524790309,0.7692307692307693,0.0,0.9259259259259259,0.15669515669515666,,3.375603596294733,0.0,0.19318162726836924,0.0,0.008573388203017836,0.0
diabetes,442,10,Local CQR (Silverman),RELU,Bin 1,3,1,90%,0.7692307692307693,0.0,2.0912705063819885,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 2,0,2,90%,0.7777777777777778,0.0,2.060844569294541,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 3,2,3,90%,0.8148148148148148,0.0,2.3217918585847923,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 4,1,4,90%,0.8461538461538461,0.0,2.4613737704662175,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 5,4,5,90%,0.9259259259259259,0.0,2.878943783265573,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Scott),RELU,Overall,,,90%,0.8045112781954887,0.0,2.357896802792872,0.0,185.7060316345756,2.37266606092453,1.218658015844265,0.7407407407407407,0.0,0.8888888888888888,0.14814814814814814,,3.4618768644960305,0.0,0.1695205814316834,0.0,0.011672957200022734,0.0
diabetes,442,10,Local CQR (Scott),RELU,Bin 1,0,1,90%,0.7407407407407407,0.0,1.934482506027928,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Scott),RELU,Bin 2,3,2,90%,0.7692307692307693,0.0,2.1985735365977654,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (Scott),RELU,Bin 3,1,3,90%,0.8076923076923077,0.0,2.478753549548296,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (Scott),RELU,Bin 4,2,4,90%,0.8148148148148148,0.0,2.376614268179293,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Scott),RELU,Bin 5,4,5,90%,0.8888888888888888,0.0,2.799635467705903,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (ISJ),RELU,Overall,,,90%,0.9022556390977443,0.0,2.781059455378611,0.0,219.03397747791254,2.8785080909729004,1.1535582572483252,0.8148148148148148,0.0,0.9629629629629629,0.14814814814814814,,3.4667749693967345,0.0,0.11343936692019359,0.0,0.0024818792055259302,0.0
diabetes,442,10,Local CQR (ISJ),RELU,Bin 1,2,1,90%,0.8148148148148148,0.0,2.3007745897328413,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (ISJ),RELU,Bin 2,0,2,90%,0.8888888888888888,0.0,2.4789017306433783,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (ISJ),RELU,Bin 3,1,3,90%,0.9230769230769231,0.0,2.691666324551289,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (ISJ),RELU,Bin 4,3,4,90%,0.9230769230769231,0.0,2.8173498396690073,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (ISJ),RELU,Bin 5,4,5,90%,0.9629629629629629,0.0,3.614638023906284,,,,,,,,,27.0,,,,,,
